Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow
315210324,"May 31, 2015, 2:49:56 AM",Going back from Grouse Mountain,Ride,"",5472,25.03,,false,,activities/315210324.gpx,56.69900131225586,,5472.0,4430.0,25029.599609375,14.199999809265137,,269.10400390625,271.10400390625,-14.300000190734863,98.5,27.200000762939453,-0.007990540005266666,,,,,,,,103.36399841308594,510.5613098144531,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315210353,"May 30, 2015, 3:55:25 PM",05/30/2015 Saturday - Van - downtown E - BSP - Norvan - Grouse Mountain hiking,Ride,"Actual cycling time is about 3hrs

Spending another 2 hrs at Grouse Mountain!",15540,61.05,,false,,activities/315210353.gpx,55.0,,15540.0,9934.0,61057.80078125,15.300000190734863,,829.7039794921875,,-15.800000190734863,119.30000305175781,47.20000076293945,-0.030135400593280792,,,,,,,,131.98899841308594,1461.9642333984375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319872602,"Jun 6, 2015, 3:40:53 PM",Morning Ride,Ride,,22299,91.43,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/319872602.gpx,55.0,11.0,22299.0,13902.0,91432.0,16.799999237060547,,1285.969970703125,1255.27001953125,-3.0999999046325684,118.80000305175781,50.0,0.03357689827680588,,,,,,,,147.9149932861328,2292.79052734375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
324758315,"Jun 13, 2015, 3:39:27 PM",Morning BSP Ride,Ride,,16648,84.33,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/324758315.gpx,55.0,11.0,16648.0,13568.0,84338.796875,15.100000381469727,,929.9619750976562,929.2620239257812,-15.600000381469727,100.30000305175781,49.79999923706055,0.0008299860055558383,,,,,,,,132.66099548339844,2006.9381103515625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
329614761,"Jun 20, 2015, 9:35:52 PM",Afternoon Ride,Ride,,10511,63.30,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/329614761.gpx,55.0,11.0,10511.0,9399.0,63308.30078125,11.5,,101.40899658203125,99.60900115966797,-1.100000023841858,27.399999618530273,47.5,0.0028432300314307213,,,,,,,,108.10600280761719,1132.9384765625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
332996410,"Jun 25, 2015, 3:31:16 PM",Morning Ride - horseshoe bay,Ride,,19062,91.70,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/332996410.gpx,55.0,11.0,19062.0,14480.0,91705.296875,15.600000381469727,,1455.6400146484375,1455.5400390625,-14.300000190734863,94.0,49.79999923706055,0.00010904500231845304,,,,,,,,147.1230010986328,2375.330322265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
334294038,"Jun 27, 2015, 3:41:15 PM",Morning BSP Ride,Ride,,17087,74.91,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/334294038.gpx,55.0,11.0,17087.0,11884.0,74912.703125,17.200000762939453,,940.2160034179688,940.2160034179688,-1.5,116.69999694824219,49.70000076293945,0.0,,,,,,,,137.79800415039062,1825.9144287109375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
336290702,"Jun 30, 2015, 2:35:13 PM",Morning Ride,Ride,Early bird,12271,73.90,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/336290702.gpx,55.0,11.0,12271.0,10834.0,73906.8984375,15.899999618530273,,883.2559814453125,885.5560302734375,-2.799999952316284,100.5999984741211,49.099998474121094,-0.003112019971013069,,,,,,,,150.61599731445312,1819.427734375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
395026579,"Sep 18, 2015, 10:12:55 PM",Riding my new bike,Ride,,2223,4.16,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/395026579.gpx,55.0,11.0,2223.0,391.0,4161.5,10.100000381469727,,0.0,,2.5,7.0,3.0,0.012014900334179401,,,,,,,,60.115501403808594,26.208253860473633,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
436303903,"Nov 20, 2015, 11:37:27 PM",Ready for the winter,Ride,"",3151,16.59,,false,Vilano Aluminum Road Bike 21 Speed Shimano,activities/436303903.gpx,55.0,11.0,3151.0,2717.0,16593.69921875,12.300000190734863,,130.3769989013672,127.87699890136719,-1.0,27.600000381469727,49.20000076293945,0.015065999701619148,,,,,,,,117.88099670410156,357.11517333984375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2058272.0,,,,,,,,,,
